;Holding Period Returns;;;;;;;;;;
DATE;MSFT;XOM;GE;JPM;INTC;C;VWRETD;SPRTRN;;;
13.07.90;0,01129;-0,010152;0,020443;0,010256;0,025641;0,010309;0,0047;0,005117;;;
16.07.90;0,011164;0;-0,001669;-0,025381;0,025;0,017007;0,004132;0,004465;;;
17.07.90;-0,018927;-0,002564;-0,005017;0,015625;-0,014634;-0,013378;-0,004129;-0,003876;;;
18.07.90;-0,022508;-0,002571;0;0,015385;-0,039604;-0,016949;-0,008366;-0,008979;;;
19.07.90;0,009868;0,030928;0,008403;0;-0,015464;-0,044828;0,001463;0,00302;;;
20.07.90;-0,045603;-0,0275;-0,013333;-0,020202;-0,054974;-0,036101;-0,007857;-0,010155;;;
23.07.90;-0,017065;-0,015424;-0,02027;-0,020619;-0,01385;-0,018727;-0,018045;-0,017422;;;
24.07.90;-0,034722;0,044386;0,005172;0,005263;-0,025281;-0,019084;0,000485;0,001351;;;
25.07.90;0,028777;-0,0075;0,005146;0,010471;0,002882;0,023346;0,003915;0,003654;;;
26.07.90;-0,038462;-0,015113;-0,003413;-0,010363;0,005747;0,019011;-0,002186;-0,003304;;;
27.07.90;0,003636;0,007673;-0,013699;-0,015707;-0,005714;-0,048507;-0,006223;-0,00694;;;
30.07.90;-0,014493;0,030457;0,006944;-0,005319;-0,002874;-0,007843;0,002877;0,00597;;;
31.07.90;-0,022059;0,022167;-0,012069;-0,016043;0,025937;0,022925;0,001626;0,001688;;;
01.08.90;0,003759;0,004819;0,005236;-0,043478;-0,044944;0;-0,001431;-0,001769;;;
02.08.90;-0,011236;0,021583;-0,019097;-0,034091;-0,052941;-0,015504;-0,011007;-0,011364;;;
03.08.90;-0,041667;-0,002347;-0,012389;-0,023529;-0,024845;-0,019685;-0,017805;-0,018835;;;
06.08.90;-0,043478;0,021176;-0,053763;0,03012;-0,050955;-0,040161;-0,031545;-0,030244;;;
07.08.90;0,012397;-0,005069;0,018939;0,052632;0,016779;0,004184;0,002032;0,001196;;;
08.08.90;0,036735;-0,030445;0,009294;0,044444;-0,019802;0;0,010735;0,010513;;;
09.08.90;0,025591;0,002415;0,001842;0,010638;0,057239;0,0375;0,005941;0,004699;;;
10.08.90;-0,009597;-0,004819;-0,020221;-0,005263;-0,025478;-0,028112;-0,010887;-0,013002;;;
13.08.90;0,007752;0,014528;0,013133;0,015873;0;-0,004132;0,006975;0,009895;;;
14.08.90;-0,011538;-0,002387;-0,007407;0,005208;-0,03268;0;0,002558;0,001623;;;
15.08.90;0;-0,004785;-0,011194;-0,020725;0;0;0,002844;0,001974;;;
16.08.90;-0,038911;-0,004808;-0,020755;-0,021164;-0,027027;-0,016598;-0,020332;-0,022555;;;
17.08.90;-0,024291;0,007246;-0,013487;0;-0,048611;-0,016878;-0,014446;-0,013719;;;
20.08.90;-0,078838;0,01199;-0,003906;-0,016216;-0,029197;0,008584;-0,00083;0,002074;;;
21.08.90;-0,022523;-0,016588;-0,029412;-0,010989;-0,030075;-0,021277;-0,019041;-0,020243;;;
22.08.90;-0,009217;-0,009639;-0,026263;-0,005556;-0,003876;-0,06087;-0,01479;-0,016498;;;
23.08.90;-0,037209;-0,034063;-0,029046;-0,027933;0,035019;-0,009259;-0,031435;-0,029979;;;
24.08.90;0,10628;-0,015113;0,049145;-0,017241;0,082707;0,065421;0,013849;0,014492;;;
27.08.90;0,061135;0,015345;0,034623;0,011696;0,006944;0;0,03053;0,031877;;;
28.08.90;0,034979;0,010076;-0,009843;-0,017341;-0,017241;-0,02193;0,000966;-0,000311;;;
29.08.90;-0,037773;-0,004988;-0,003976;-0,005882;-0,017544;-0,004484;0,007242;0,008869;;;
30.08.90;-0,008264;-0,02005;-0,011976;0;-0,053571;-0,013514;-0,013141;-0,016904;;;
31.08.90;0,025;0,023018;0,00202;0,023669;0,007547;0,018265;0,009347;0,01208;;;
04.09.90;0,012195;0,0025;-0,012097;0,017341;0,003745;-0,004484;0,000922;0,001643;;;
05.09.90;-0,052209;0,014963;-0,016327;0,022727;-0,029851;0;0,003995;0,004024;;;
06.09.90;-0,025424;-0,009828;-0,004149;-0,011111;-0,038462;-0,009009;-0,009701;-0,012115;;;
07.09.90;0,004348;0,009926;0,010417;0,02809;0,016;0,009091;0,007489;0,009174;;;
10.09.90;-0,034632;-0,009828;0,008247;-0,013989;0,023622;0;-0,003173;-0,005473;;;
11.09.90;-0,004484;0,009926;0,018405;-0,017143;-0,015385;0,004505;-0,001575;-0,001834;;;
12.09.90;0,033784;0,009828;-0,004016;-0,005814;0,023438;0;0,003114;0,004672;;;
13.09.90;0,002179;-0,012165;-0,02621;-0,023392;-0,015267;-0,044843;-0,010233;-0,012061;;;
14.09.90;0,03913;0,012315;-0,014493;-0,02994;0,011628;-0,023474;-0,005623;-0,005712;;;
17.09.90;0,016736;0,004866;-0,008403;-0,037037;0,007663;-0,009615;0,002191;0,002967;;;
18.09.90;0,016461;-0,007264;-0,006356;0;0,019011;-0,101942;0,001077;0,002612;;;
19.09.90;0,004049;0;-0,042644;-0,044872;0,011194;-0,081081;-0,004999;-0,006277;;;
20.09.90;-0,03629;-0,002439;-0,009443;-0,04698;-0,02583;-0,029412;-0,015241;-0,016172;;;
21.09.90;0,012552;0,002445;0,013605;-0,042254;-0,003788;0,006061;-0,001749;-0,000514;;;
24.09.90;-0,033058;-0,014634;-0,024609;-0,110294;-0,026616;-0,03012;-0,02055;-0,021618;;;
25.09.90;0,032051;0;0,020642;0,041322;0,054688;0,062112;0,009761;0,012049;;;
26.09.90;-0,00207;-0,012376;-0,011236;-0,047619;-0,02963;-0,005848;-0,010293;-0,010381;;;
27.09.90;-0,016598;-0,005013;-0,061364;-0,058333;-0,022901;-0,023529;-0,01432;-0,013407;;;
28.09.90;0,063291;-0,012594;0,05569;0,097345;0,039063;-0,012048;0,014281;0,016879;;;
01.10.90;0,065476;0,012755;0,03211;0;0,022556;-0,036585;0,026022;0,029048;;;
02.10.90;-0,018622;-0,002519;-0,008889;0;0,014706;-0,063291;0,002635;0,000857;;;
03.10.90;-0,001898;0,002525;-0,022422;-0,048387;-0,036232;0,027027;-0,010339;-0,012087;;;
04.10.90;-0,024715;0,015113;-0,002294;0,025424;-0,030075;0,019737;0,001654;0,004143;;;
05.10.90;0,009747;-0,009926;-0,002299;0,041322;0,01938;-0,019355;-0,00425;-0,003806;;;
08.10.90;0,019305;0,010025;0,004608;-0,007937;-0,003802;-0,026316;0,005437;0,006356;;;
09.10.90;-0,045455;-0,012407;-0,029817;-0,016;-0,076336;-0,027027;-0,024177;-0,026732;;;
10.10.90;-0,055556;-0,020101;-0,016548;-0,02439;-0,016529;0,013889;-0,015102;-0,015438;;;
11.10.90;-0,02521;-0,012821;-0,014423;-0,116667;-0,021008;0,006849;-0,017225;-0,016412;;;
12.10.90;-0,017241;0,007792;0,034146;-0,04717;0,030043;0,047619;0,012247;0,015467;;;
15.10.90;-0,008772;0,015464;0,025943;0,019802;0,045833;-0,006494;0,008452;0,010666;;;
16.10.90;-0,033186;-0,01269;-0,052874;0;-0,011952;-0,026144;-0,013141;-0,014214;;;
17.10.90;0,034325;-0,002571;0,021845;-0,029126;0,032258;0,033557;0,000051;-0,000535;;;
18.10.90;0,081858;0;0,035629;0;0,0625;0,090909;0,021595;0,023363;;;
19.10.90;0,014315;0,028351;0,018349;0,02;0,022059;-0,029762;0,017335;0,022045;;;
22.10.90;0,032258;-0,005013;-0,031532;0;0,014388;0,03681;0,00785;0,007296;;;
23.10.90;0,003906;-0,02267;0,004651;-0,009804;0,007092;0;-0,0044;-0,007625;;;
24.10.90;0,01751;0;-0,039352;-0,029703;-0,014085;0;0,000212;0,000768;;;
25.10.90;-0,00956;-0,015464;-0,012048;0;-0,025;-0,005917;-0,005624;-0,007774;;;
26.10.90;-0,021236;-0,010471;-0,014634;-0,081633;-0,025641;-0,095238;-0,015956;-0,017603;;;
29.10.90;-0,013807;0,007937;0,007426;-0,055556;-0,026316;-0,019737;-0,008942;-0,009288;;;
30.10.90;0,022;0,026247;0,036855;0,023529;0,027027;-0,008054;0,004255;0,007221;;;
31.10.90;-0,001957;0,002558;-0,014218;-0,068966;0,007519;-0,013605;0,000644;-0,000197;;;
01.11.90;-0,003922;0,015306;0,007212;0,074074;0;-0,006897;0,008038;0,009934;;;
02.11.90;0,023622;-0,002513;0,011933;0,068966;0,044776;0,083333;0,014964;0,015732;;;
05.11.90;0,009615;0,000907;0,016509;-0,010753;0,035714;0,012821;0,009564;0,008786;;;
06.11.90;-0,020952;0,005102;-0,009281;-0,032609;-0,003448;-0,031646;-0,006525;-0,009441;;;
07.11.90;-0,007782;-0,020305;-0,025761;-0,033708;-0,044983;-0,019608;-0,015161;-0,018003;;;
08.11.90;-0,003922;0,020725;-0,004808;0,046512;0,021739;-0,006667;0,00405;0,005229;;;
09.11.90;0,019685;0,022843;0,038647;-0,011111;0,021277;0,033557;0,017564;0,019928;;;
12.11.90;0,063707;-0,002481;0,030233;0,078652;0,034722;0,064935;0,018471;0,018295;;;
13.11.90;-0,00363;-0,004975;0,002257;-0,020833;0,016779;0,030488;-0,002921;-0,005665;;;
14.11.90;0,01275;0,005;-0,004505;0,053191;0;0,023669;0,007986;0,008594;;;
15.11.90;-0,023381;-0,004975;-0,004525;-0,030303;-0,029703;-0,00578;-0,008507;-0,010549;;;
16.11.90;0,001842;0,0075;0,006818;0,020833;0,006803;0,005814;-0,000187;0,000315;;;
19.11.90;0,022059;0,004963;0;0,020408;0,006757;0,00578;0,00566;0,007001;;;
20.11.90;-0,017986;0;-0,038375;-0,06;-0,013423;0;-0,010211;-0,01262;;;
21.11.90;0,007326;0,002469;0,00939;-0,010638;-0,013605;-0,022989;0,001002;0,002283;;;
23.11.90;0;0,007389;-0,002326;-0,021505;-0,02069;0,005882;-0,001949;-0,002943;;;
26.11.90;0,021818;-0,002445;-0,004662;0,032967;0,014085;0;0,003073;0,004475;;;
27.11.90;0,023132;-0,012255;0,002342;0;0,03125;0,02924;0,00674;0,005024;;;
28.11.90;-0,02087;0;-0,016355;-0,031915;0,016835;0,005682;0,000746;-0,000472;;;
29.11.90;0,012433;-0,002481;0,009501;-0,032967;0;0,011299;-0,003503;-0,004812;;;
30.11.90;0,014035;0,007463;0,030588;0,034091;-0,006623;0,011173;0,015779;0,01833;;;
03.12.90;0,022491;0,002469;0,002466;0,054945;0,006667;0,016575;0,006589;0,005835;;;
04.12.90;0,00846;-0,007389;0,02069;0,041667;0,013245;0,032609;0,007183;0,006942;;;
05.12.90;0,010067;-0,002481;0,027027;0,08;0;0,052632;0,011524;0,010939;;;
06.12.90;-0,006645;-0,012438;0,008772;-0,018519;0,003268;-0,005;-0,001447;-0,002576;;;
07.12.90;-0,006689;-0,007557;0;0;-0,016287;-0,020101;-0,003235;-0,004011;;;
10.12.90;-0,003367;0,007614;-0,008696;-0,009434;0;-0,025641;0,002372;0,003478;;;
11.12.90;-0,025338;0,002519;-0,004386;-0,019417;-0,05298;-0,005263;-0,005682;-0,007449;;;
12.12.90;0,005199;0,012563;0,004405;0,009901;0,027972;0,005291;0,009204;0,011488;;;
13.12.90;0,003448;0,002481;-0,010965;-0,029412;-0,013605;-0,010526;-0,000649;-0,002574;;;
14.12.90;0,012027;0,00495;-0,013304;-0,040404;-0,006897;-0,031915;-0,007354;-0,007652;;;
17.12.90;0,005093;0,004926;-0,004494;-0,073684;-0,006944;-0,032967;-0,003769;-0,002448;;;
18.12.90;0,016892;0;0,027088;0,056818;0,041958;0,056818;0,011516;0,012361;;;
19.12.90;-0,004983;-0,009804;-0,004396;0,010753;0,013423;0,016129;0,001052;0,000454;;;
20.12.90;0,008347;-0,002475;0,015453;0,010638;0,033113;-0,031746;0,000605;-0,000242;;;
21.12.90;0,003311;0,007444;0,008696;-0,042105;0,025641;0,010929;0,003009;0,004938;;;
24.12.90;-0,006601;0,009852;-0,006466;-0,010989;-0,028125;-0,010811;-0,003688;-0,005576;;;
26.12.90;-0,003322;0,009756;-0,004338;0,011111;-0,03537;-0,005464;0,002637;0,00288;;;
27.12.90;-0,003333;-0,009662;-0,002179;-0,021978;-0,013333;0;-0,005724;-0,007738;;;
28.12.90;0,003344;0,007317;0,002183;-0,022472;0,023649;-0,010989;0,000361;0,00131;;;
31.12.90;0,003333;0,002421;0;-0,011494;0,016502;0,016667;0,00498;0,004563;;;
02.01.91;-0,006645;-0,019324;-0,015251;0,046512;0;0,010929;-0,008814;-0,011417;;;
03.01.91;0,006689;0,004926;-0,022124;0;0;0;-0,01182;-0,013907;;;
04.01.91;0,008306;0,009804;-0,011312;0,011111;0,006494;0,027027;-0,002309;-0,002827;;;
07.01.91;-0,01318;-0,012136;-0,016018;-0,043956;-0,009677;-0,015789;-0,016347;-0,017321;;;
08.01.91;-0,018364;-0,002457;0,009302;0;-0,009772;-0,02139;-0,002727;-0,001712;;;
09.01.91;0,006803;-0,017241;-0,002304;-0,034483;0,009868;-0,043716;-0,009093;-0,010829;;;
10.01.91;0,057432;0,010025;0;0,02381;0,009772;0,017143;0,00943;0,00976;;;
11.01.91;-0,003195;-0,009926;-0,002309;0,023256;0,025806;0,022472;0,000868;0,002226;;;
14.01.91;-0,016026;0,002506;0,002315;-0,034091;-0,006289;0,010989;-0,009509;-0,008692;;;
15.01.91;0,021173;-0,0025;0,004619;0,023529;0,022152;-0,005435;0,003182;0,003968;;;
16.01.91;0,049442;-0,002506;0,004598;0,011494;0,043344;0;0,009465;0,007777;;;
